day,num_sites
'2019-12-01',762478
'2019-12-02',639508
'2019-12-03',624537
'2019-12-04',887649
'2019-12-05',888703
'2019-12-06',879224
'2019-12-07',846434
'2019-12-08',784742
'2019-12-09',631859
'2019-12-10',612207
'2019-12-11',867635
'2019-12-12',871085
'2019-12-13',865790
'2019-12-14',837310
'2019-12-15',759052
'2019-12-16',615485
'2019-12-17',594915
'2019-12-18',847573
'2019-12-19',849415
'2019-12-20',836246
'2019-12-21',798848
'2019-12-22',734513
'2019-12-23',586936
'2019-12-24',560128
'2019-12-25',767984
'2019-12-26',697273
'2019-12-27',602587
'2019-12-28',701350
'2019-12-29',674303
'2019-12-30',573677
'2019-12-31',537433
