date,AT&T,Akamai,Amazon,Ananke,Aryaka,Azion,BitGravity,BunnyCDN,CDN77,CDNetworks,CDNvideo,CacheFly,Cedexis,ChinaCache,ChinaNetCenter,Cloudflare,Edgecast,Facebook,Fastly,Google,Highwinds,Incapsula,Instartlogic,Internap,LeaseWeb CDN,Level3,Limelight,Medianova,Microsoft,NGENIX,OnApp,Rackspace,Reflected Networks,SFR,StackPath,SwiftServe,Taobao,Telenor,Twitter,Yahoo,Yottaa,Zenedge
2015-03-01,89477,1625946,3722450,54,31,0,54,0,66,2302,2,80,0,0,20,608060,298001,183,19366,1157955,2727,33929,0,819552,298811,43417,1676,0,140597,1,0,596135,15451,5975,0,17,0,5094,16,606884,0,1
2015-03-02,89446,1625002,3704471,54,31,0,55,0,68,2306,2,80,0,0,20,609106,297719,184,19414,1158762,2732,33990,0,819334,299453,43388,1680,0,140639,1,0,595869,15440,5981,0,11,0,5097,16,606974,0,1
2015-03-03,89356,1630418,3723376,54,32,0,55,0,66,2301,2,81,0,0,20,611116,296365,185,19455,1160029,2723,33886,0,818050,292887,43246,1674,0,140812,1,0,595588,15388,5974,0,11,0,5103,16,606755,0,1
2015-03-04,89333,1634610,3729376,54,32,0,55,0,67,2305,2,81,0,0,20,612829,296346,185,19296,1160668,2721,35588,0,818611,290812,43393,1677,0,140963,1,0,594640,15366,5980,0,12,0,5092,16,605306,0,1
2015-03-05,89315,1639095,3762806,54,28,0,55,0,67,2306,2,82,0,0,20,611076,296651,184,19334,1161417,2724,1130351,0,818420,291710,43146,1672,0,141166,1,0,643263,15367,5996,0,8,0,5091,16,605474,0,1
2015-03-06,89216,1635116,3776538,54,32,0,55,0,65,2300,2,82,0,0,20,614593,296552,184,19378,1161770,2715,1131637,0,817768,290741,43203,1679,0,141319,1,0,737680,15362,5993,0,8,0,5090,16,605450,0,1
2015-03-07,88926,1639147,3804293,54,32,0,54,0,65,2313,2,82,0,0,20,615657,296467,185,19389,1162362,2710,1132723,0,814809,291239,42926,1673,0,141427,1,0,740758,15348,5978,0,12,0,5028,16,604696,0,1
2015-03-08,88506,1638874,3754321,54,32,0,54,0,63,2310,2,82,0,0,20,615002,296195,183,19368,1161841,2703,1132829,0,814666,291283,42916,1673,0,141480,1,0,743317,15333,5982,0,13,0,5075,16,603842,0,1
2015-03-09,88494,1642282,3771527,54,32,0,54,0,61,2311,2,115,0,0,20,615947,295903,182,19428,1162171,2708,1132514,0,814600,290048,42683,1672,0,141585,1,0,630645,15322,5983,0,15,0,5083,16,604259,0,1
2015-03-10,88485,1640095,3797573,54,32,0,54,0,64,2311,2,115,0,0,20,617809,295844,182,19682,1163497,2694,34416,0,813791,279090,42958,1676,0,141589,1,0,594993,15298,5988,0,16,0,5079,16,605007,0,1
2015-03-11,88481,1640568,3799404,54,32,0,54,0,63,2308,2,115,0,0,20,619150,295805,182,19539,1164134,2692,34501,0,813702,274294,42965,1676,0,141808,1,0,595288,15250,5983,0,14,0,5084,17,607507,0,0
2015-03-12,88403,1642732,3744781,54,31,0,54,0,66,2310,2,115,0,0,20,619551,295642,182,19494,1163638,2696,34501,0,769521,276126,43102,1676,0,141890,1,0,594066,15219,5987,0,14,0,5080,16,606307,0,0
2015-03-13,88512,1646904,3804600,54,32,0,54,0,62,2323,2,115,0,0,20,620378,295600,182,19610,1165655,2680,34651,0,769131,275288,43112,1668,0,142065,1,0,594884,15218,6011,0,14,0,5067,16,606183,0,0
2015-03-14,88481,1656688,3782521,54,32,0,54,0,62,2316,2,115,0,0,20,620788,295538,182,19633,1166011,2693,34701,0,768997,281458,43025,1673,0,142150,1,0,595976,15180,5987,0,12,0,5062,16,606112,0,0
2015-03-15,88412,1654983,3762212,54,32,0,54,0,64,2296,2,114,0,0,20,620395,295174,181,19653,1165231,2694,34696,0,768785,279745,42971,1672,0,142159,1,0,597211,15170,5988,0,9,0,5087,16,605201,0,0
2015-03-16,88447,1645379,3835860,54,32,0,54,0,62,2303,2,114,0,0,20,620760,294985,181,19711,1165845,2694,34852,0,768631,282839,42989,1679,0,142139,1,0,597750,15164,5963,0,10,0,5060,16,604861,0,0
2015-03-17,88396,1631692,3823779,54,32,0,54,0,62,2307,2,115,0,0,20,621346,293611,181,19731,1165367,2691,34911,0,768555,291189,42968,1676,0,142234,1,0,598039,15147,6020,0,13,0,5053,16,605006,0,0
