date,dom_count
2014-07-17,113715324
2014-07-18,113715324
2014-07-19,113760531
2014-07-20,113744259
2014-07-21,113746896
2014-07-22,113768202
2014-07-23,113796039
2014-07-24,113827004
2014-07-25,113854862
2014-07-26,113856685
2014-07-27,113846861
2014-07-28,113835663
2014-07-29,113830690
2014-07-30,113880692
2014-07-31,113905720
2014-08-01,113925668
2014-08-02,113934580
2014-08-03,113917370
2014-08-04,113906790
2014-08-05,113927030
2014-08-06,113952275
2014-08-07,113970618
2014-08-08,113989289
2014-08-09,113994149
2014-08-10,113983828
2014-08-11,113978645
2014-08-12,113998933
2014-08-13,114026071
2014-08-14,114045068
2014-08-15,114055538
2014-08-16,114063560
2014-08-17,114056430
2014-08-18,114052027
2014-08-19,114085177
2014-08-20,114107445
2014-08-21,114116861
2014-08-22,114130141
2014-08-23,114121596
2014-08-24,114110574
2014-08-25,114117002
2014-08-26,114138089
2014-08-27,114169904
2014-08-28,114196448
2014-08-29,114219393
2014-08-30,114227478
2014-08-31,114218190
2014-09-01,114213577
2014-09-02,114206970
2014-09-03,114239229
2014-09-04,114264024
2014-09-05,114251618
2014-09-06,114177245
2014-09-07,114177245
2014-09-08,114178987
2014-09-09,114203981
2014-09-10,114241561
2014-09-11,114276008
2014-09-12,114303326
2014-09-13,114317830
2014-09-14,114307085
2014-09-15,114308212
2014-09-16,114348386
2014-09-17,114374287
2014-09-18,114409376
2014-09-19,114435701
2014-09-20,114450784
2014-09-21,114440945
2014-09-22,114440467
2014-09-23,114476246
2014-09-24,114505665
2014-09-25,114540697
2014-09-26,114540697
2014-09-27,114588980
2014-09-28,114593697
2014-09-29,114606380
2014-09-30,114641912
2014-10-01,114669958
2014-10-02,114687023
2014-10-03,114695722
2014-10-04,114684901
2014-10-05,114660791
2014-10-06,114644823
2014-10-07,114666581
2014-10-08,114688923
2014-10-09,114706941
2014-10-10,114723715
2014-10-11,114737077
2014-10-12,114722349
2014-10-13,114721585
2014-10-14,114751389
2014-10-15,114777716
2014-10-16,114804059
2014-10-17,114823484
2014-10-18,114832495
2014-10-19,114819988
2014-10-20,114814269
2014-10-21,114807050
2014-10-22,114812011
2014-10-23,114845801
2014-10-24,114865175
2014-10-25,114867396
2014-10-26,114848026
2014-10-27,114836669
2014-10-28,114854697
2014-10-29,114877140
2014-10-30,114901411
2014-10-31,114920013
2014-11-01,114926874
2014-11-02,114916061
2014-11-03,114909683
2014-11-04,114923913
2014-11-05,114947716
2014-11-06,114981066
2014-11-07,115002622
2014-11-08,115014378
2014-11-09,115003103
2014-11-10,114994278
2014-11-11,115024114
2014-11-12,115050247
2014-11-13,115066385
2014-11-14,115091912
2014-11-15,115106046
2014-11-16,115088048
2014-11-17,115083579
2014-11-18,115103168
2014-11-19,115136645
2014-11-20,115162546
2014-11-21,115183379
2014-11-22,115195147
2014-11-23,115173095
2014-11-24,115170138
2014-11-25,115191741
2014-11-26,115205158
2014-11-27,115220990
2014-11-28,115218631
2014-11-29,115218049
2014-11-30,115198107
2014-12-01,115198249
2014-12-02,115233122
2014-12-03,115251327
2014-12-04,115271972
2014-12-05,115289521
2014-12-06,115282507
2014-12-07,115276020
2014-12-08,115296793
2014-12-09,115317493
2014-12-10,115337494
2014-12-11,115349152
2014-12-12,115373317
2014-12-13,115364956
2014-12-14,115346131
2014-12-15,115355124
2014-12-16,115382860
2014-12-17,115399030
2014-12-18,115408608
2014-12-19,115421810
2014-12-20,115402975
2014-12-21,115373188
2014-12-22,115358251
2014-12-23,115351354
2014-12-24,115338826
2014-12-25,115322244
2014-12-26,115306660
2014-12-27,115295711
2014-12-28,115289167
2014-12-29,115303055
2014-12-30,115316209
2014-12-31,115356613
2015-01-01,115344061
2015-01-02,115326647
2015-01-03,115299109
2015-01-04,115291445
2015-01-05,115306487
2015-01-06,115328533
2015-01-07,115356442
2015-01-08,115376778
2015-01-09,115405425
2015-01-10,115475698
2015-01-11,115460920
2015-01-12,115467768
2015-01-13,115483750
2015-01-14,115511313
2015-01-15,115528337
2015-01-16,115548533
2015-01-17,115552438
2015-01-18,115536595
2015-01-19,115548726
2015-01-20,115578066
2015-01-21,115602937
2015-01-22,115630977
2015-01-23,115653743
2015-01-24,115658414
2015-01-25,115651389
2015-01-26,115663408
2015-01-27,115701225
2015-01-28,115743127
2015-01-29,115774722
2015-01-30,115799646
2015-01-31,115827773
2015-02-01,115824919
2015-02-02,115843267
2015-02-03,115880020
2015-02-04,115916024
2015-02-05,115955213
2015-02-06,115998434
2015-02-07,116013044
2015-02-08,116012081
2015-02-09,116020328
2015-02-10,116054426
2015-02-11,116119111
2015-02-12,116129306
2015-02-13,116155813
2015-02-14,116164748
2015-02-15,116150503
2015-02-16,116142571
2015-02-17,116161863
2015-02-18,116168624
2015-02-19,116200160
2015-02-20,116209464
2015-02-21,116195512
2015-02-22,116180211
2015-02-23,116175363
2015-02-24,116198567
2015-02-25,116227879
2015-02-26,116238766
2015-02-27,116255347
2015-02-28,116288734
2015-03-01,116287078
2015-03-02,116286708
2015-03-03,116320327
2015-03-04,116359415
2015-03-05,116415142
2015-03-06,116437095
2015-03-07,116451580
2015-03-08,116453098
2015-03-09,116462480
2015-03-10,116493397
2015-03-11,116536215
2015-03-12,116586635
2015-03-13,116621516
2015-03-14,116643078
2015-03-15,116636178
2015-03-16,116642194
2015-03-17,116673661
2015-03-18,116719626
2015-03-19,116762751
2015-03-20,116795726
2015-03-21,116808761
2015-03-22,116798546
2015-03-23,116799781
2015-03-24,116837596
2015-03-25,116866626
2015-03-26,116903184
2015-03-27,116921750
2015-03-28,116941277
2015-03-29,116929763
2015-03-30,116925682
2015-03-31,116940030
2015-04-01,116961833
2015-04-02,116992392
2015-04-03,117023695
2015-04-04,117029117
2015-04-05,117002378
2015-04-06,116984566
2015-04-07,116997512
2015-04-08,117005927
2015-04-09,117013022
2015-04-10,117021596
2015-04-11,117033435
2015-04-12,117003305
2015-04-13,116981017
2015-04-14,117000607
2015-04-15,117020377
2015-04-16,117023182
2015-04-17,117037095
2015-04-18,117043625
2015-04-19,117022653
2015-04-20,117009693
2015-04-21,117036598
2015-04-22,117051532
2015-04-23,117063597
2015-04-24,117065971
2015-04-25,117083691
2015-04-26,117063489
2015-04-27,117050690
2015-04-28,117099849
2015-04-29,117119099
2015-04-30,117125003
2015-05-01,117132593
2015-05-02,117136692
2015-05-03,117089950
2015-05-04,117077389
2015-05-05,117108204
2015-05-06,117128955
2015-05-07,117139115
2015-05-08,117159404
2015-05-09,117162291
2015-05-10,117139569
2015-05-11,117128302
2015-05-12,117142990
2015-05-13,117158799
2015-05-14,117174756
2015-05-15,117186198
2015-05-16,117191053
2015-05-17,117164995
2015-05-18,117153994
2015-05-19,117182699
2015-05-20,117206401
2015-05-21,117226657
2015-05-22,117244467
2015-05-23,117249818
2015-05-24,117232811
2015-05-25,117220172
2015-05-26,117236582
2015-05-27,117257659
2015-05-28,117274076
2015-05-29,117286913
2015-05-30,117305896
2015-05-31,117288662
2015-06-01,117284764
2015-06-02,117324915
2015-06-03,117353173
2015-06-04,117370454
2015-06-05,117387229
2015-06-06,117391440
2015-06-07,117372251
2015-06-08,117367822
2015-06-09,117410406
2015-06-10,117443542
2015-06-11,117461559
2015-06-12,117478702
2015-06-13,117486266
2015-06-14,117467403
2015-06-15,117458578
2015-06-16,117492738
2015-06-17,117521054
2015-06-18,117536072
2015-06-19,117564795
2015-06-20,117564591
2015-06-21,117543260
2015-06-22,117528970
2015-06-23,117550552
2015-06-24,117568400
2015-06-25,117583912
2015-06-26,117610423
2015-06-27,117620597
2015-06-28,117605334
2015-06-29,117600534
2015-06-30,117625781
2015-07-01,117648919
2015-07-02,117685755
2015-07-03,117701960
2015-07-04,117696539
2015-07-05,117673134
2015-07-06,117660128
2015-07-07,117677807
2015-07-08,117702056
2015-07-09,117725976
2015-07-10,117742438
2015-07-11,117745168
2015-07-12,117728936
2015-07-13,117721063
2015-07-14,117741407
2015-07-15,117751722
2015-07-16,117764757
2015-07-17,117773514
2015-07-18,117766798
2015-07-19,117749093
2015-07-20,117739402
2015-07-21,117771571
2015-07-22,117790724
2015-07-23,117814681
2015-07-24,117831824
2015-07-25,117844654
2015-07-26,117829874
2015-07-27,117825809
2015-07-28,117853515
2015-07-29,117879356
2015-07-30,117896742
2015-07-31,117906240
2015-08-01,117901135
2015-08-02,117891794
2015-08-03,117884846
2015-08-04,117910625
2015-08-05,117939791
2015-08-06,117966271
2015-08-07,117986268
2015-08-08,117995752
2015-08-09,117972942
2015-08-10,117971568
2015-08-11,117993229
2015-08-12,118016495
2015-08-13,118042900
2015-08-14,118071573
2015-08-15,118086571
2015-08-16,118079909
2015-08-17,118079533
2015-08-18,118108665
2015-08-19,118128769
2015-08-20,118166152
2015-08-21,118182966
2015-08-22,118186516
2015-08-23,118173815
2015-08-24,118169973
2015-08-25,118189988
2015-08-26,118215780
