date,AT&T,Akamai,Amazon,Ananke,Aryaka,Azion,BitGravity,BunnyCDN,CDN77,CDNetworks,CDNvideo,CacheFly,Cedexis,ChinaCache,ChinaNetCenter,Cloudflare,Edgecast,Facebook,Fastly,Google,Highwinds,Incapsula,Instartlogic,Internap,LeaseWeb CDN,Level3,Limelight,Medianova,Microsoft,NGENIX,OnApp,Rackspace,Reflected Networks,SFR,StackPath,SwiftServe,Taobao,Telenor,Twitter,Yahoo,Yottaa,Zenedge
2015-03-01,14310,190390,177108,17,1,0,7,0,26,385,0,5,0,0,8,71363,37147,15,1923,124313,409,3983,0,114782,36201,5458,205,0,21502,2,0,63712,1500,960,0,1,0,1509,0,59948,0,0
2015-03-02,14324,190466,177314,17,1,0,7,0,26,383,0,5,0,0,8,71542,37124,15,1926,124414,410,3994,0,114757,36332,5464,205,0,21506,2,0,63649,1499,958,0,2,0,1504,0,59663,0,0
2015-03-03,14327,191534,177941,17,1,0,7,0,26,383,0,5,0,0,8,71670,37111,15,1925,124480,408,4003,0,114233,36012,5439,205,0,21506,2,0,63408,1487,961,0,1,0,1503,0,59887,0,0
2015-03-04,14338,192419,178099,17,1,0,7,0,26,382,0,5,0,0,8,71774,37109,15,1919,124528,403,3997,0,114329,35979,5457,204,0,21528,2,0,62060,1487,957,0,1,0,1502,0,59902,0,0
2015-03-05,14318,193071,177682,17,1,0,7,0,26,382,0,5,0,0,8,71173,37102,15,1926,124583,406,63607,0,114316,35912,5444,205,0,21554,2,0,64010,1487,954,0,1,0,1501,0,59835,0,0
2015-03-06,14307,192210,177896,17,1,0,7,0,25,382,0,5,0,0,8,71766,37110,15,1939,124644,395,63677,0,114161,35812,5509,206,0,21581,2,0,72047,1486,960,0,2,0,1501,0,59515,0,0
2015-03-07,14344,192328,178329,17,1,0,7,0,24,382,0,5,0,0,8,71761,37094,15,1943,124738,395,63753,0,114116,35473,5405,204,0,21579,2,0,72300,1486,958,0,1,0,1490,0,59817,0,0
2015-03-08,14310,192185,178031,17,1,0,7,0,24,380,0,5,0,0,8,71795,37083,15,1950,124805,396,63835,0,114102,35296,5414,206,0,21580,2,0,72477,1485,959,0,1,0,1499,0,59835,0,0
2015-03-09,14328,192298,178137,17,1,0,7,0,24,382,0,5,0,0,8,71732,37042,15,1957,124792,397,63826,0,114085,35459,5356,204,0,21594,2,0,64965,1485,961,0,1,0,1498,0,59795,0,0
2015-03-10,14325,191390,177919,17,1,0,7,0,24,385,0,5,0,0,8,71883,36992,15,1963,124882,397,4056,0,114059,35007,5402,205,0,21610,2,0,62064,1483,958,0,0,0,1500,0,59850,0,0
2015-03-11,14306,192207,177949,17,1,0,6,0,24,384,0,5,0,0,8,72074,36987,14,1957,124958,395,4061,0,114048,34947,5368,205,0,21620,2,0,61990,1484,965,0,2,0,1501,0,60362,0,0
2015-03-12,14320,192420,177847,17,1,0,6,0,24,386,0,5,0,0,8,72234,36990,14,1946,125044,396,4065,0,109996,34970,5361,205,0,21613,2,0,61901,1483,965,0,1,0,1496,0,60390,0,0
