date,dom_count
2014-07-17,15136635
2014-07-18,15135283
2014-07-19,15133933
2014-07-20,15129024
2014-07-21,15124284
2014-07-22,15122111
2014-07-23,15122633
2014-07-24,15122613
2014-07-25,15122768
2014-07-26,15121659
2014-07-27,15118213
2014-07-28,15113144
2014-07-29,15111052
2014-07-30,15115124
2014-07-31,15114598
2014-08-01,15113859
2014-08-02,15112728
2014-08-03,15109952
2014-08-04,15106451
2014-08-05,15105118
2014-08-06,15106697
2014-08-07,15107904
2014-08-08,15106884
2014-08-09,15105428
2014-08-10,15103330
2014-08-11,15100518
2014-08-12,15099787
2014-08-13,15101689
2014-08-14,15101468
2014-08-15,15102146
2014-08-16,15102347
2014-08-17,15099628
2014-08-18,15097097
2014-08-19,15098645
2014-08-20,15098341
2014-08-21,15099414
2014-08-22,15101133
2014-08-23,15100796
2014-08-24,15097793
2014-08-25,15094996
2014-08-26,15094212
2014-08-27,15096027
2014-08-28,15098171
2014-08-29,15098162
2014-08-30,15098728
2014-08-31,15095175
2014-09-01,15092427
2014-09-02,15091572
2014-09-03,15092236
2014-09-04,15093088
2014-09-05,15090747
2014-09-06,15090603
2014-09-07,15087669
2014-09-08,15084484
2014-09-09,15083517
2014-09-10,15086173
2014-09-11,15087334
2014-09-12,15089067
2014-09-13,15088347
2014-09-14,15084330
2014-09-15,15081175
2014-09-16,15082004
2014-09-17,15083040
2014-09-18,15085332
2014-09-19,15085991
2014-09-20,15086489
2014-09-21,15083262
2014-09-22,15081276
2014-09-23,15081712
2014-09-24,15083571
2014-09-25,15084617
2014-09-26,15084617
2014-09-27,15086850
2014-09-28,15084610
2014-09-29,15082163
2014-09-30,15084157
2014-10-01,15086603
2014-10-02,15086542
2014-10-03,15086520
2014-10-04,15085029
2014-10-05,15081246
2014-10-06,15077803
2014-10-07,15077288
2014-10-08,15079208
2014-10-09,15080966
2014-10-10,15080315
2014-10-11,15078142
2014-10-12,15074854
2014-10-13,15071665
2014-10-14,15071927
2014-10-15,15071635
2014-10-16,15072243
2014-10-17,15073038
2014-10-18,15072183
2014-10-19,15068836
2014-10-20,15067220
2014-10-21,15067873
2014-10-22,15069837
2014-10-23,15071828
2014-10-24,15071706
2014-10-25,15071687
2014-10-26,15067436
2014-10-27,15062672
2014-10-28,15063917
2014-10-29,15064676
2014-10-30,15064271
2014-10-31,15065282
2014-11-01,15065245
2014-11-02,15061311
2014-11-03,15058685
2014-11-04,15059984
2014-11-05,15060402
2014-11-06,15061343
2014-11-07,15061765
2014-11-08,15060972
2014-11-09,15057203
2014-11-10,15054394
2014-11-11,15057152
2014-11-12,15057447
2014-11-13,15057467
2014-11-14,15058185
2014-11-15,15058282
2014-11-16,15054890
2014-11-17,15054145
2014-11-18,15056653
2014-11-19,15061186
2014-11-20,15062235
2014-11-21,15063877
2014-11-22,15063962
2014-11-23,15060505
2014-11-24,15056888
2014-11-25,15057800
2014-11-26,15058009
2014-11-27,15057491
2014-11-28,15055699
2014-11-29,15054909
2014-11-30,15051367
2014-12-01,15048755
2014-12-02,15050798
2014-12-03,15052436
2014-12-04,15053247
2014-12-05,15053254
2014-12-06,15050705
2014-12-07,15047228
2014-12-08,15044996
2014-12-09,15045474
2014-12-10,15046744
2014-12-11,15046277
2014-12-12,15047081
2014-12-13,15045657
2014-12-14,15042086
2014-12-15,15039443
2014-12-16,15039504
2014-12-17,15039384
2014-12-18,15038284
2014-12-19,15040693
2014-12-20,15042221
2014-12-21,15038607
2014-12-22,15033875
2014-12-23,15032761
2014-12-24,15030815
2014-12-25,15027924
2014-12-26,15023684
2014-12-27,15019966
2014-12-28,15015824
2014-12-29,15012334
2014-12-30,15011074
2014-12-31,15009683
2015-01-01,15004532
2015-01-02,14998816
2015-01-03,14995380
2015-01-04,14992708
2015-01-05,14990429
2015-01-06,14990208
2015-01-07,14990702
2015-01-08,14990879
2015-01-09,14991595
2015-01-10,14994459
2015-01-11,14990229
2015-01-12,14986457
2015-01-13,14986290
2015-01-14,14987381
2015-01-15,14987771
2015-01-16,14987032
2015-01-17,14985966
2015-01-18,14982828
2015-01-19,14980773
2015-01-20,14983010
2015-01-21,14985666
2015-01-22,14988487
2015-01-23,14989715
2015-01-24,14990772
2015-01-25,14988604
2015-01-26,14987123
2015-01-27,14988783
2015-01-28,14993597
2015-01-29,14995943
2015-01-30,14997680
2015-01-31,14999169
2015-02-01,14997598
2015-02-02,14996089
2015-02-03,15000038
2015-02-04,15004039
2015-02-05,15008876
2015-02-06,15013003
2015-02-07,15014999
2015-02-08,15013349
2015-02-09,15012666
2015-02-10,15015050
2015-02-11,15020552
2015-02-12,15018943
2015-02-13,15021120
2015-02-14,15022323
2015-02-15,15019026
2015-02-16,15015840
2015-02-17,15016446
2015-02-18,15015514
2015-02-19,15016853
2015-02-20,15016381
2015-02-21,15014633
2015-02-22,15011311
2015-02-23,15008143
2015-02-24,15009433
2015-02-25,15011198
2015-02-26,15014642
2015-02-27,15013584
2015-02-28,15012847
2015-03-01,15010133
2015-03-02,15007917
2015-03-03,15009256
2015-03-04,15010612
2015-03-05,15011537
