date,AT&T,Akamai,Amazon,Ananke,Aryaka,Azion,BitGravity,BunnyCDN,CDN77,CDNetworks,CDNvideo,CacheFly,Cedexis,ChinaCache,ChinaNetCenter,Cloudflare,Edgecast,Facebook,Fastly,Google,Highwinds,Incapsula,Instartlogic,Internap,LeaseWeb CDN,Level3,Limelight,Medianova,Microsoft,NGENIX,OnApp,Rackspace,Reflected Networks,SFR,StackPath,SwiftServe,Taobao,Telenor,Twitter,Yahoo,Yottaa,Zenedge
2015-03-01,11717,130091,139265,8,0,0,3,0,5,76,0,5,0,0,5,56003,4090,13,3925,101158,383,3300,0,43656,19923,4847,106,0,13674,1,0,53648,428,785,0,0,0,968,1,46172,0,0
2015-03-02,11706,129940,139505,8,0,0,3,0,5,76,0,5,0,0,5,56090,4087,13,3925,101156,385,3306,0,43643,19887,4844,106,0,13672,1,0,53717,428,785,0,0,0,967,1,46143,0,0
2015-03-03,11718,130204,140360,8,0,0,3,0,5,76,0,5,0,0,5,56392,4089,13,3925,101232,385,3317,0,43620,19747,4838,106,0,13686,1,0,53715,427,788,0,0,0,969,1,46122,0,0
2015-03-04,11701,130890,140646,8,0,0,3,0,5,76,0,5,0,0,5,56583,4083,13,3914,101274,383,3319,0,43605,19746,4834,106,0,13702,1,0,53729,428,783,0,0,0,971,1,46120,0,0
2015-03-05,11686,131218,140286,8,0,0,3,0,5,76,0,5,0,0,5,56650,4087,13,3917,101067,378,71372,0,43524,19687,4829,106,0,13696,1,0,53664,428,785,0,0,0,970,1,46047,0,1
2015-03-06,11702,130695,140660,8,0,0,3,0,6,76,0,5,0,0,5,56857,4088,13,3927,101267,378,71647,0,43505,19602,4859,106,0,13728,1,0,54305,428,779,0,0,0,973,1,46073,0,2
2015-03-07,11703,130678,140634,8,0,0,3,0,6,76,0,5,0,0,5,56936,4084,13,3927,101276,380,71726,0,43456,19357,4822,106,0,13729,1,0,54302,427,781,0,0,0,961,1,46094,0,2
2015-03-08,11701,130475,140579,8,0,0,3,0,6,75,0,5,0,0,5,57040,4084,13,3928,101359,380,71833,0,43435,19386,4824,106,0,13736,1,0,54327,427,785,0,0,0,972,1,46058,0,2
2015-03-09,11689,130599,140703,8,0,0,3,0,6,74,0,5,0,0,5,57086,4084,13,3939,101410,379,71847,0,43428,19371,4788,106,0,13745,1,0,53953,427,780,0,0,0,971,1,46090,0,1
2015-03-10,11695,129695,140749,8,0,0,3,0,6,75,0,5,0,0,5,57095,4080,13,3945,101474,379,3373,0,43420,19328,4808,106,0,13763,1,0,53532,425,784,0,0,0,971,1,46101,0,2
2015-03-11,11693,130104,140691,8,0,0,3,0,6,75,0,5,0,0,5,57240,4082,13,3941,101507,379,3376,0,43429,19257,4802,106,0,13756,1,0,53598,425,783,0,0,0,970,1,46290,0,2
2015-03-12,11687,130222,140698,8,0,0,3,0,6,75,0,5,0,0,5,57563,4080,13,3947,101533,378,3376,0,41662,19441,4799,106,0,13765,1,0,53571,424,779,0,0,0,970,1,46358,0,2
2015-03-13,11676,130379,141227,8,0,0,3,0,6,75,0,4,0,0,5,57865,4081,13,3954,101547,377,3375,0,41628,19392,4800,106,0,13785,1,0,53460,424,780,0,0,0,968,1,46318,0,2
2015-03-14,11686,130813,141349,8,0,0,3,0,6,75,0,4,0,0,5,58098,4078,14,3956,101577,379,3391,0,41625,19399,4785,106,0,13805,1,0,53459,425,775,0,0,0,964,1,46294,0,2
2015-03-15,11680,130588,141229,8,0,0,3,0,6,74,0,4,0,0,5,58106,4075,14,3945,101590,380,3391,0,41616,19310,4775,106,0,13804,1,0,53445,424,774,0,0,0,970,1,46273,0,2
2015-03-16,11670,130637,143932,8,0,0,3,0,6,74,0,4,0,0,5,58180,4073,14,3952,101605,383,3418,0,41602,20051,4776,106,0,13815,1,0,53478,424,772,0,0,0,966,1,46308,0,2
2015-03-17,11677,129648,141867,8,0,0,3,0,6,75,0,4,0,0,5,58264,4047,14,3961,101540,380,3416,0,41575,20229,4770,106,0,13819,1,0,53445,422,781,0,0,0,963,1,46273,0,2
2015-03-18,11676,129210,143885,8,0,0,3,0,6,75,0,4,0,0,5,58383,4078,14,3962,101689,382,3423,0,41583,19985,4761,106,0,13839,1,0,53464,422,779,0,0,0,965,1,46240,0,2
2015-03-19,11674,128538,144017,8,0,0,3,0,6,75,0,4,0,0,5,58487,4079,14,3963,101747,381,3429,0,41565,20057,4743,106,0,13847,1,0,53502,421,779,0,0,0,967,1,46206,0,2
2015-03-20,11667,133517,144133,8,0,0,3,0,6,74,0,4,0,0,5,58755,4090,14,3969,101814,381,3445,0,41542,20153,4741,106,0,13863,1,0,53543,421,768,0,0,0,965,1,46232,0,2
2015-03-21,11629,132366,143567,8,0,0,3,0,6,75,0,4,0,0,5,58890,4076,14,4017,101539,380,3428,0,41424,20038,4727,106,0,13844,1,0,53534,419,777,0,0,0,966,1,46035,0,0
2015-03-22,11671,132807,143805,8,0,0,3,0,6,75,0,4,0,0,5,59124,4081,14,4033,101844,381,3442,0,41505,20103,4731,116,0,13877,1,0,53699,420,779,0,0,0,968,1,46135,0,0
2015-03-23,11647,132814,144059,8,0,0,3,0,6,75,0,4,0,0,5,59124,4077,14,4036,101834,380,3439,0,41505,20030,4744,105,0,13873,1,0,53778,420,783,0,0,0,963,1,46120,0,0
2015-03-24,11651,132930,143844,8,0,0,3,0,6,75,0,4,0,0,5,59094,4076,14,4033,101850,381,3444,0,41502,20081,4752,104,0,13898,1,0,53767,420,783,0,0,0,970,1,46165,0,0
2015-03-25,11637,132335,144101,8,0,0,3,0,6,75,0,4,0,0,5,59215,4096,14,3982,101996,383,3455,0,41492,20160,4739,105,0,13901,1,0,53916,421,780,0,0,0,958,1,46142,0,0
2015-03-26,11630,131971,144864,8,0,0,3,0,6,74,0,4,0,0,5,59278,4098,14,3986,102054,381,3459,0,41489,19805,4743,105,0,13917,1,0,54213,421,779,0,0,0,968,1,46157,0,0
2015-03-27,11708,131491,145060,8,0,0,3,0,6,74,0,4,0,0,5,59286,4097,14,3987,102023,383,3467,0,41481,20228,4731,105,0,13929,1,0,54289,422,772,0,0,0,965,1,46108,0,0
2015-03-28,11716,130909,145133,8,0,0,3,0,6,75,0,4,0,0,5,59268,4099,14,3996,102130,382,3481,0,41468,20261,4734,105,0,13936,1,0,54475,421,780,0,0,0,964,1,45893,0,0
2015-03-29,11723,130791,145401,8,0,0,3,0,6,75,0,4,0,0,5,59283,4092,14,4038,102124,380,3482,0,41450,20072,4719,105,0,13935,1,0,54643,418,776,0,0,0,963,1,45862,0,0
2015-03-30,11710,130681,145212,8,0,0,3,0,6,75,0,4,0,0,5,59319,4090,14,4003,102145,380,3484,0,41448,20253,4716,104,0,13941,1,0,54763,416,797,0,0,0,962,1,45903,0,0
2015-03-31,11715,130676,145472,8,0,0,3,0,6,75,0,4,0,0,5,59335,4089,14,4004,101880,380,3489,0,41444,20177,4716,105,0,13988,1,0,54618,416,801,0,0,0,958,1,45797,0,0
2015-04-01,11737,131060,146067,8,0,0,3,0,6,75,0,4,0,0,5,57833,4092,14,4011,102274,379,3501,0,41443,20051,4722,105,0,14110,1,0,54844,416,795,0,0,0,970,1,45780,0,0
2015-04-02,11726,131004,145898,8,0,0,3,0,6,75,0,4,0,0,5,57178,4093,14,4024,102355,379,3509,0,41316,19920,4722,105,0,14127,1,0,55159,416,795,0,0,0,972,1,45736,0,0
2015-04-03,11703,130871,145862,8,0,0,3,0,6,75,0,4,0,0,5,57263,4098,14,4027,102365,379,3524,0,41303,19762,4715,105,0,14133,1,0,55538,416,795,0,0,0,970,1,45969,0,0
2015-04-04,11715,130727,145814,8,0,0,3,0,6,75,0,4,0,0,5,57324,4090,14,4031,102411,379,3523,0,41306,19828,4721,106,0,14127,1,0,55675,415,793,0,0,0,969,1,45915,0,0
2015-04-05,11709,130963,146269,8,0,0,3,0,6,75,0,4,0,0,5,57370,4088,14,4035,102391,379,3522,0,41294,19721,4709,106,0,14125,1,0,55997,415,794,0,0,0,969,1,45874,0,0
2015-04-06,11711,131529,146352,8,0,0,3,0,6,74,0,4,0,0,5,57380,4085,13,4034,102395,379,3526,0,41277,19673,4701,106,0,14133,1,0,56040,414,787,0,0,0,967,1,45875,0,0
2015-04-07,11693,131522,146024,8,0,0,3,0,6,75,0,4,0,0,5,57476,4084,13,4040,102418,378,3523,0,41265,19696,4700,106,0,14139,1,0,55999,414,793,0,0,0,965,1,45780,0,0
2015-04-08,11701,131424,146959,8,0,0,3,0,6,75,0,4,0,0,5,57461,4111,13,4054,102450,379,3527,0,41252,19821,4697,106,0,14157,1,0,56121,414,792,0,0,0,965,1,45671,0,0
2015-04-09,11680,131448,146861,8,0,0,3,0,6,75,0,4,0,0,5,57589,4101,13,4062,102533,379,3530,0,41242,19672,4688,106,0,14172,1,0,56329,414,788,0,0,0,966,1,45713,0,0
2015-04-10,11682,131479,146524,8,0,0,3,0,6,75,0,4,0,0,5,57652,4126,13,4072,102575,380,3531,0,41225,19664,4674,106,0,14177,1,0,56445,413,789,0,0,0,969,1,45684,0,0
2015-04-11,11668,131170,147311,8,0,0,3,0,6,74,0,4,0,0,5,57702,4133,13,4087,102646,379,3618,0,40986,19629,4679,106,0,14184,1,0,56637,412,784,0,0,0,966,1,45653,0,0
2015-04-12,11637,131153,147062,8,0,0,3,0,6,75,0,4,0,0,5,57729,4130,13,4091,102668,365,3620,0,40973,19580,4667,106,0,14184,1,0,56767,412,783,0,0,0,964,1,45652,0,0
2015-04-13,11647,131464,146033,8,0,0,3,0,6,75,0,4,0,0,5,57767,4116,13,4095,102672,379,3625,0,40973,19654,4679,106,0,14181,1,0,56851,412,789,0,0,0,963,1,45620,0,0
2015-04-14,11622,131648,145868,8,0,0,3,0,6,75,0,4,0,0,5,57760,4117,13,4100,102741,376,3627,0,39350,18544,4680,106,0,14199,1,0,56869,412,784,0,0,0,968,1,45643,0,0
2015-04-15,11628,131583,146597,8,0,0,3,0,6,75,0,4,0,0,5,57775,4116,13,4102,102802,375,3635,0,40270,19657,4685,106,0,14222,1,0,57074,411,786,0,0,0,966,1,45636,0,0
2015-04-16,11638,130601,146094,8,0,0,2,0,6,75,0,3,0,0,5,57900,4122,13,4103,102834,375,3652,0,40655,19677,4984,106,0,14247,1,0,57940,411,785,0,0,0,957,1,45643,0,0
2015-04-17,11639,130649,146762,8,0,0,2,0,6,74,0,3,0,0,5,57974,4116,13,4102,102570,374,3658,0,40627,18855,4994,105,0,14276,1,0,58206,410,786,0,0,0,961,1,45625,0,0
