date,dom_count
2014-07-17,10404739
2014-07-18,10407031
2014-07-19,10407972
2014-07-20,10405023
2014-07-21,10402341
2014-07-22,10400227
2014-07-23,10403619
2014-07-24,10404166
2014-07-25,10404640
2014-07-26,10404393
2014-07-27,10402620
2014-07-28,10400079
2014-07-29,10399087
2014-07-30,10401134
2014-07-31,10400601
2014-08-01,10401124
2014-08-02,10400596
2014-08-03,10398593
2014-08-04,10396489
2014-08-05,10398027
2014-08-06,10399066
2014-08-07,10399517
2014-08-08,10400314
2014-08-09,10400949
2014-08-10,10399880
2014-08-11,10397963
2014-08-12,10398737
2014-08-13,10398431
2014-08-14,10401235
2014-08-15,10402219
2014-08-16,10402739
2014-08-17,10400562
2014-08-18,10398885
2014-08-19,10400093
2014-08-20,10401271
2014-08-21,10402399
2014-08-22,10404349
2014-08-23,10405438
2014-08-24,10404485
2014-08-25,10403314
2014-08-26,10404424
2014-08-27,10406639
2014-08-28,10406900
2014-08-29,10406997
2014-08-30,10407780
2014-08-31,10406208
2014-09-01,10403542
2014-09-02,10404619
2014-09-03,10405519
2014-09-04,10406761
2014-09-05,10407812
2014-09-06,10408539
2014-09-07,10407050
2014-09-08,10404882
2014-09-09,10405932
2014-09-10,10408584
2014-09-11,10410223
2014-09-12,10411809
2014-09-13,10413250
2014-09-14,10411820
2014-09-15,10411028
2014-09-16,10413516
2014-09-17,10415127
2014-09-18,10415893
2014-09-19,10418427
2014-09-20,10419204
2014-09-21,10417657
2014-09-22,10415431
2014-09-23,10417240
2014-09-24,10419642
2014-09-25,10420588
2014-09-26,10422451
2014-09-27,10422958
2014-09-28,10421190
2014-09-29,10420112
2014-09-30,10421508
2014-10-01,10423832
2014-10-02,10425245
2014-10-03,10427156
2014-10-04,10427232
2014-10-05,10425573
2014-10-06,10423650
2014-10-07,10424685
2014-10-08,10426140
2014-10-09,10428763
2014-10-10,10429024
2014-10-11,10430062
2014-10-12,10428866
2014-10-13,10427070
2014-10-14,10429138
2014-10-15,10431829
2014-10-16,10432575
2014-10-17,10434757
2014-10-18,10435076
2014-10-19,10433468
2014-10-20,10432034
2014-10-21,10433059
2014-10-22,10435035
2014-10-23,10436722
2014-10-24,10437504
2014-10-25,10439605
2014-10-26,10438736
2014-10-27,10436723
2014-10-28,10436996
2014-10-29,10438164
2014-10-30,10440454
2014-10-31,10442024
2014-11-01,10444294
2014-11-02,10442473
2014-11-03,10440658
2014-11-04,10441744
2014-11-05,10443441
2014-11-06,10445657
2014-11-07,10446541
2014-11-08,10448046
2014-11-09,10446523
2014-11-10,10444883
2014-11-11,10446474
2014-11-12,10449265
2014-11-13,10450747
2014-11-14,10452287
2014-11-15,10453755
2014-11-16,10452221
2014-11-17,10451568
2014-11-18,10453931
2014-11-19,10456983
2014-11-20,10458639
2014-11-21,10460855
2014-11-22,10463957
2014-11-23,10463727
2014-11-24,10462361
2014-11-25,10465270
2014-11-26,10469809
2014-11-27,10473841
2014-11-28,10474121
2014-11-29,10478359
2014-11-30,10478358
2014-12-01,10476651
2014-12-02,10479271
2014-12-03,10480699
2014-12-04,10481231
2014-12-05,10482830
2014-12-06,10483373
2014-12-07,10482260
2014-12-08,10480238
2014-12-09,10481290
2014-12-10,10482870
2014-12-11,10484403
2014-12-12,10485742
2014-12-13,10486672
2014-12-14,10485512
2014-12-15,10484140
2014-12-16,10486243
2014-12-17,10487172
2014-12-18,10488924
2014-12-19,10488960
2014-12-20,10488996
2014-12-21,10486870
2014-12-22,10484488
2014-12-23,10484833
2014-12-24,10483990
2014-12-25,10482288
2014-12-26,10479849
2014-12-27,10478430
2014-12-28,10476002
2014-12-29,10473400
2014-12-30,10472861
2014-12-31,10476122
2015-01-01,10474752
2015-01-02,10472257
2015-01-03,10470722
2015-01-04,10469493
2015-01-05,10468069
2015-01-06,10470035
2015-01-07,10471601
2015-01-08,10472750
2015-01-09,10473944
2015-01-10,10475943
2015-01-11,10474890
2015-01-12,10473307
2015-01-13,10474542
2015-01-14,10475537
2015-01-15,10476037
2015-01-16,10476625
2015-01-17,10477436
2015-01-18,10475432
2015-01-19,10473712
2015-01-20,10475348
2015-01-21,10476945
2015-01-22,10478377
2015-01-23,10480338
2015-01-24,10481435
2015-01-25,10480659
2015-01-26,10479231
2015-01-27,10482124
2015-01-28,10484219
2015-01-29,10485828
2015-01-30,10487690
2015-01-31,10489762
2015-02-01,10489484
2015-02-02,10489047
2015-02-03,10491718
2015-02-04,10495239
2015-02-05,10500352
2015-02-06,10503483
2015-02-07,10506336
2015-02-08,10505808
2015-02-09,10504490
2015-02-10,10509345
2015-02-11,10513508
2015-02-12,10512359
2015-02-13,10513957
2015-02-14,10515361
2015-02-15,10513683
2015-02-16,10512523
2015-02-17,10514323
2015-02-18,10515533
2015-02-19,10516880
2015-02-20,10516980
2015-02-21,10517197
2015-02-22,10515335
2015-02-23,10513948
2015-02-24,10516223
2015-02-25,10517000
2015-02-26,10516448
2015-02-27,10517296
2015-02-28,10518453
2015-03-01,10517106
2015-03-02,10515906
2015-03-03,10517942
2015-03-04,10519427
2015-03-05,10520052
2015-03-06,10520891
2015-03-07,10521399
2015-03-08,10520088
2015-03-09,10517504
2015-03-10,10520061
2015-03-11,10521631
2015-03-12,10522544
2015-03-13,10524223
2015-03-14,10524819
2015-03-15,10523339
2015-03-16,10521622
2015-03-17,10523149
2015-03-18,10525015
2015-03-19,10531228
2015-03-20,10531985
2015-03-21,10532714
2015-03-22,10530080
2015-03-23,10529074
2015-03-24,10530215
2015-03-25,10534243
2015-03-26,10535748
2015-03-27,10538232
2015-03-28,10538216
2015-03-29,10536479
2015-03-30,10536021
2015-03-31,10536332
2015-04-01,10540389
2015-04-02,10539854
2015-04-03,10540013
2015-04-04,10538883
2015-04-05,10535726
2015-04-06,10533208
2015-04-07,10532997
2015-04-08,10533682
2015-04-09,10534155
2015-04-10,10534184
2015-04-11,10533816
2015-04-12,10530703
2015-04-13,10528425
2015-04-14,10529217
2015-04-15,10529816
2015-04-16,10530467
2015-04-17,10531023
2015-04-18,10530423
2015-04-19,10528070
2015-04-20,10526048
2015-04-21,10527861
2015-04-22,10528052
2015-04-23,10530123
2015-04-24,10529782
2015-04-25,10532147
2015-04-26,10529640
2015-04-27,10527760
2015-04-28,10529836
2015-04-29,10531253
2015-04-30,10527026
2015-05-01,10526227
2015-05-02,10525068
2015-05-03,10522239
2015-05-04,10519891
2015-05-05,10520338
2015-05-06,10521277
2015-05-07,10519365
2015-05-08,10520820
2015-05-09,10521240
2015-05-10,10518228
2015-05-11,10513944
2015-05-12,10514264
2015-05-13,10514661
2015-05-14,10513972
2015-05-15,10513318
2015-05-16,10512954
2015-05-17,10510460
2015-05-18,10509206
2015-05-19,10509985
2015-05-20,10511906
2015-05-21,10512624
2015-05-22,10513475
2015-05-23,10513254
2015-05-24,10510399
2015-05-25,10508092
2015-05-26,10506814
2015-05-27,10505425
2015-05-28,10508701
2015-05-29,10506803
2015-05-30,10511571
2015-05-31,10509778
2015-06-01,10506921
2015-06-02,10507839
2015-06-03,10508579
2015-06-04,10507092
2015-06-05,10507644
2015-06-06,10507354
2015-06-07,10504178
2015-06-08,10502895
2015-06-09,10504805
2015-06-10,10506200
2015-06-11,10506762
2015-06-12,10505877
2015-06-13,10506634
2015-06-14,10505356
2015-06-15,10504088
2015-06-16,10504424
2015-06-17,10506319
2015-06-18,10507532
