cdn_name;lookup_type;description;asn
Cedexis;RIPE;CEDEXIS - Cedexis Inc, US;53847
Akamai;PeeringDB;Akamai Technologies;20940
Akamai;PeeringDB;Akamai Prolexic DDoS Mitigation;32787
Akamai;RIPE;AKAMAI - Akamai Technologies, Inc., US;12222
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;16625
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;16702
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;18680
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;18717
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;20189
Akamai;RIPE;AKAMAI-ASN1, US;20940
Akamai;RIPE;AKAMAI-ASN2, US;21342
Akamai;RIPE;AKAMAI-MAPPING, US;21357
Akamai;RIPE;AKAMAI3, US;21399
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;22207
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;23454
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;23455
Akamai;RIPE;AKAMAI-AS-BANGLORE Akamai Banglore Office ASN, IN;23903
Akamai;RIPE;AKAMAI-TYO-AP Akamai Technologies Tokyo ASN, SG;24319
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;30675
Akamai;RIPE;AKAMAI-NY, US;31107
Akamai;RIPE;AKAMAI-VA, US;31108
Akamai;RIPE;AKAMAI-LA, US;31109
Akamai;RIPE;AKAMAI-SJC, US;31110
Akamai;RIPE;AKAMAI-BOS, US;31377
Akamai;RIPE;AKAMAI-AMS, US;33905
Akamai;RIPE;AKAMAI-LON, GB;34164
Akamai;RIPE;AKAMAI-MUC, IR;34850
Akamai;RIPE;AKAMAI-DUB, US;35204
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;35993
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;35994
Akamai;RIPE;AKAMAI-AS - Akamai Technologies, Inc., US;36183
Akamai;RIPE;AKAMAI-FRA, DE;39836
Akamai;RIPE;AKAMAI-AMS2, NL;43639
Akamai;RIPE;AKAMAI-AP Akamai Technologies, Inc., SG;55770
Akamai;RIPE;AKAMAI-TEST - Akamai Technologies, Inc., US;393560
Facebook;PeeringDB;Facebook Inc;32934
Facebook;PeeringDB;Facebook Inc AS63293;63293
Facebook;RIPE;FACEBOOK - Facebook, Inc., US;32934
Facebook;RIPE;FACEBOOK-CORP - Facebook Inc, US;54115
Facebook;RIPE;FACEBOOK-OFFNET - Facebook, Inc., US;63293
Microsoft;PeeringDB;Microsoft;8075
Microsoft;PeeringDB;Microsoft AS8068;8068
Microsoft;PeeringDB;Microsoft AS8069;8069
Microsoft;RIPE;MICROSOFT-CORP-AS - Microsoft Corporation, US;3598
Microsoft;RIPE;MICROSOFT-CORP-MSN-AS-SATURN - Microsoft Corporation, US;5761
Microsoft;RIPE;MICROSOFT-CORP-MSN-AS-4 - Microsoft Corporation, US;6182
Microsoft;RIPE;MICROSOFT-CORP-MSN-AS - Microsoft Corporation, US;6291
Microsoft;RIPE;MICROSOFT-GP-AS - Microsoft Corporation, US;6584
